Vector Size, Block Size, Block Number, GPU Time, CPU Time
100,100,1,0.000022,0.000001
100,200,1,0.000015,0.000001
100,300,1,0.000015,0.000001
100,400,1,0.000015,0.000002
100,500,1,0.000015,0.000001
100,600,1,0.000015,0.000001
100,700,1,0.000015,0.000001
100,800,1,0.000014,0.000001
100,900,1,0.000014,0.000001
100100,100,1001,0.000263,0.000563
100100,200,500,0.000266,0.000571
100100,300,333,0.000263,0.000571
100100,400,250,0.000271,0.000580
100100,500,200,0.000270,0.000573
100100,600,166,0.000276,0.000569
100100,700,143,0.000271,0.000567
100100,800,125,0.000271,0.000572
100100,900,111,0.000271,0.000674
200100,100,2001,0.000571,0.001145
200100,200,1000,0.000539,0.001185
200100,300,667,0.000533,0.001136
200100,400,500,0.000563,0.001225
200100,500,400,0.000527,0.001127
200100,600,333,0.000532,0.001171
200100,700,285,0.000530,0.001133
200100,800,250,0.000532,0.001234
200100,900,222,0.000534,0.001138
300100,100,3001,0.000773,0.001754
300100,200,1500,0.000774,0.001801
300100,300,1000,0.000747,0.001898
300100,400,750,0.000769,0.001852
300100,500,600,0.000694,0.002331
300100,600,500,0.000733,0.002326
300100,700,428,0.000768,0.002177
300100,800,375,0.000758,0.002969
300100,900,333,0.000771,0.002362
400100,100,4001,0.000979,0.002750
400100,200,2000,0.000974,0.002733
400100,300,1333,0.000979,0.002716
400100,400,1000,0.000979,0.002654
400100,500,800,0.000962,0.002594
400100,600,666,0.000978,0.002465
400100,700,571,0.000967,0.002594
400100,800,500,0.000975,0.002474
400100,900,444,0.000973,0.002476
500100,100,5001,0.001156,0.003744
500100,200,2500,0.001176,0.003339
500100,300,1667,0.001170,0.003104
500100,400,1250,0.001181,0.003097
500100,500,1000,0.001136,0.003250
500100,600,833,0.001185,0.003479
500100,700,714,0.001178,0.003450
500100,800,625,0.001180,0.003992
500100,900,555,0.001184,0.003129
600100,100,6001,0.000915,0.003712
600100,200,3000,0.000917,0.004040
600100,300,2000,0.000905,0.003390
600100,400,1500,0.000909,0.003807
600100,500,1200,0.000898,0.003544
600100,600,1000,0.000917,0.003821
600100,700,857,0.000921,0.003852
600100,800,750,0.000911,0.004013
600100,900,666,0.000929,0.003799
700100,100,7001,0.001074,0.004708
700100,200,3500,0.001103,0.004554
700100,300,2333,0.001085,0.004425
700100,400,1750,0.001080,0.004255
700100,500,1400,0.001116,0.004227
700100,600,1166,0.001118,0.004551
700100,700,1000,0.001092,0.004614
700100,800,875,0.001119,0.004836
700100,900,777,0.001067,0.004279
800100,100,8001,0.000900,0.005185
800100,200,4000,0.000890,0.005014
800100,300,2667,0.000870,0.004907
800100,400,2000,0.000865,0.004881
800100,500,1600,0.000857,0.005533
800100,600,1333,0.000866,0.004894
800100,700,1143,0.000867,0.004915
800100,800,1000,0.000866,0.005187
800100,900,889,0.000896,0.004943
900100,100,9001,0.000650,0.005768
900100,200,4500,0.001045,0.005812
900100,300,3000,0.000726,0.005876
900100,400,2250,0.001038,0.005491
900100,500,1800,0.001077,0.005319
900100,600,1500,0.001095,0.005914
900100,700,1285,0.001068,0.005110
900100,800,1125,0.001074,0.005156
900100,900,1000,0.001049,0.005355
